transaction_id,timestamp,sender_account_id,receiver_account_id,amount,currency,amount_etb,transaction_type,channel,device_id,city,country,ip_hash,reference_id,invoice_id,status
TX00000011,2025-03-10T23:51:28.589219,ACC0053703,ACC0035502,2356,GBP,169632,Deposit,Mobile Banking,,Jijiga,Ethiopia,8a1067c22937623b,,INV0187088,Completed
TX00000012,2025-02-07T07:42:54.061085,ACC0048113,ACC0098423,2909,GBP,209448,Transfer,Mobile Banking,,Addis Ababa,Ethiopia,,REF00000012,INV0183527,Completed
TX00000013,2024-12-26T22:09:25.391607,ACC0126014,ACC0063502,1216,ETB,1216,Payment,Branch,,Bishoftu,Ethiopia,339d1735e2f96023,,,Completed
TX00000014,2024-02-16T09:38:46.489480,ACC0030050,ACC0094347,54708,ETB,54708,Transfer,Agent Banking,DEV0027778,Harar,Ethiopia,61294461ca6a7191,,INV0071521,Completed
TX00000015,2024-08-24T13:31:50.474637,ACC0064173,ACC0120919,7392,USD,425040,FX Exchange,ATM,DEV0047821,Dire Dawa,Ethiopia,9c68ef283698d590,REF00000015,,Completed
TX00000016,2022-06-06T12:09:47.033772,ACC0128664,ACC0103949,351,ETB,351,Loan Disbursement,Internet Banking,DEV0055161,Addis Ababa,Ethiopia,0ef6eda25de066d2,,INV0124321,Completed
TX00000017,2024-07-14T14:16:30.728289,ACC0020240,ACC0015752,11556,ETB,11556,FX Exchange,Mobile Banking,DEV0079006,Addis Ababa,Ethiopia,,,INV0031498,Completed
TX00000018,2024-09-07T13:17:47.578587,ACC0076972,ACC0005048,677,ETB,677,Transfer,POS,DEV0082067,Jijiga,Ethiopia,31735a9b3672bd99,,INV0134874,Pending
TX00000019,2025-10-04T18:48:11.142290,ACC0067690,ACC0075630,724,ETB,724,Transfer,USSD,,Bahir Dar,Ethiopia,e65e5f98b7b495ce,REF00000019,INV0091854,Completed
TX00000020,2022-07-13T19:26:55.577850,ACC0026887,ACC0122360,141808,ETB,141808,Deposit,Mobile Banking,DEV0047808,Nekemte,Ethiopia,4d2e1a0d6e5ad950,,,Failed
TX00000021,2022-02-02T20:29:54.966632,ACC0043897,ACC0030657,935,GBP,67320,Deposit,Internet Banking,DEV0088417,Arba Minch,Ethiopia,d9a3c0d3a9c3753a,REF00000021,INV0152578,Completed
TX00000022,2024-04-03T03:58:15.996757,ACC0112570,ACC0080610,6775,ETB,6775,Withdrawal,Mobile Banking,DEV0026546,Hosaena,Ethiopia,,,INV0133772,Completed
TX00000023,2023-03-23T02:31:02.669742,ACC0126221,ACC0012066,2127,ETB,2127,Loan Disbursement,ATM,DEV0024310,Hosaena,Ethiopia,cacc76e04cdf6c85,,INV0120686,Completed
TX00000024,2022-05-07T18:55:30.232457,ACC0118947,ACC0016705,22111,USD,1271382,Loan Disbursement,Mobile Banking,DEV0077598,Addis Ababa,Ethiopia,fb936d9e89d2583e,,,Completed
TX00000025,2025-11-29T10:50:39.435667,ACC0141838,ACC0118785,767,ETB,767,Transfer,ATM,DEV0036711,Bishoftu,Ethiopia,8b261460003e0d21,,INV0018767,Completed
TX00000026,2025-02-26T20:55:14.947653,ACC0083075,ACC0062707,22343,EUR,1385266,Payment,Internet Banking,,Addis Ababa,Ethiopia,c5f10cb59f972617,,INV0069618,Completed
TX00000027,2023-05-24T00:28:14.922579,ACC0124125,ACC0109287,26212,ETB,26212,Transfer,Internet Banking,DEV0043881,Addis Ababa,Ethiopia,dc49ba98661e044b,REF00000027,,Completed
TX00000028,2024-03-30T02:22:02.915869,ACC0123261,ACC0054945,6233,ETB,6233,Payment,Branch,DEV0023686,Dire Dawa,Ethiopia,2cc80d480f230ece,,INV0139307,Completed
TX00000029,2025-11-19T03:32:57.357301,ACC0020600,ACC0032064,179997,EUR,11159814,Transfer,USSD,,Bahir Dar,Ethiopia,525c87d699a2aede,REF00000029,INV0081714,Completed
TX00000030,2022-09-18T16:43:56.271897,ACC0091631,ACC0109627,10404,ETB,10404,Withdrawal,ATM,DEV0085099,Addis Ababa,Ethiopia,850144121c6ac9b9,,INV0074206,Completed
TX00000031,2023-09-28T11:21:36.982564,ACC0041173,ACC0144271,256,ETB,256,Payment,Mobile Banking,DEV0032675,Jimma,Ethiopia,,,INV0162036,Pending
TX00000032,2025-12-18T10:14:44.051886,ACC0065054,ACC0058968,780,ETB,780,Loan Disbursement,USSD,,Shashamane,Ethiopia,e3eb57e818bbcbd3,,,Completed
TX00000033,2022-01-03T13:00:53.636056,ACC0043273,ACC0028615,3429,ETB,3429,Bill Payment,Agent Banking,DEV0014765,Mekelle,Ethiopia,cb794c93e672ed4e,REF00000033,INV0070811,Completed
TX00000034,2025-03-24T12:47:56.172121,ACC0046550,ACC0035301,1823,ETB,1823,Transfer,Mobile Banking,DEV0087645,Jimma,Ethiopia,2d35f220cec93eab,,INV0108555,Completed
TX00000035,2022-03-26T08:15:11.391615,ACC0067951,ACC0005417,594,ETB,594,Deposit,Internet Banking,DEV0005927,Addis Ababa,Ethiopia,,,INV0172181,Pending
TX00000036,2022-05-01T15:08:31.130444,ACC0107165,ACC0033386,30813,ETB,30813,Withdrawal,ATM,DEV0073675,Addis Ababa,Ethiopia,,,INV0031327,Completed
TX00000037,2023-04-10T17:40:35.698206,ACC0027925,ACC0127237,11582,ETB,11582,Payment,Internet Banking,DEV0031129,Mekelle,Ethiopia,1d7b862b5e7b13b7,,INV0053543,Pending
TX00000038,2022-07-04T08:01:45.391802,ACC0135327,ACC0038018,1303,ETB,1303,Payment,Branch,DEV0085345,Shashamane,Ethiopia,6d2150ec617231fa,REF00000038,INV0017786,Completed
TX00000039,2024-07-11T23:31:57.581656,ACC0082567,ACC0026861,3759,ETB,3759,Transfer,Mobile Banking,DEV0041591,Addis Ababa,Ethiopia,294ae7d102a1ed23,REF00000039,INV0083271,Completed
TX00000040,2022-03-06T08:16:36.285184,ACC0029043,ACC0021598,41944,ETB,41944,Withdrawal,Branch,DEV0062370,Addis Ababa,Ethiopia,f3946c492b532113,,,Completed
TX00000041,2022-06-02T18:15:19.160882,ACC0023721,ACC0093360,1261,USD,72508,Loan Repayment,Branch,DEV0072273,Jijiga,Ethiopia,ab902859bea7052b,,INV0000948,Completed
TX00000042,2025-07-03T21:41:28.492211,ACC0091530,ACC0095402,4366,ETB,4366,Deposit,Branch,DEV0085458,Addis Ababa,Ethiopia,,,INV0051733,Completed
TX00000043,2024-05-22T12:55:55.155550,ACC0000972,ACC0112123,6864,USD,394680,Withdrawal,POS,DEV0045479,Mekelle,Ethiopia,,,INV0033645,Completed
TX00000044,2024-09-03T01:51:49.775158,ACC0009226,ACC0127288,43102,ETB,43102,Withdrawal,Mobile Banking,DEV0061316,Harar,Ethiopia,,,,Completed
TX00000045,2025-04-23T01:31:33.608686,ACC0060534,ACC0022299,1079,ETB,1079,Mobile Money,Branch,DEV0012608,Addis Ababa,Ethiopia,d0a34b656ed1de21,REF00000045,INV0059260,Completed
TX00000046,2025-02-13T10:31:20.105798,ACC0082661,ACC0050445,489,CHF,31785,Payment,ATM,DEV0066222,Addis Ababa,Ethiopia,5965953d1adec478,,INV0116871,Completed
TX00000047,2022-06-15T09:19:26.769135,ACC0127300,ACC0106262,10643,ETB,10643,Payment,USSD,DEV0082313,Bishoftu,Ethiopia,40eb81a84d1cc9e3,REF00000047,INV0185414,Completed
TX00000048,2022-08-05T13:22:43.998254,ACC0016865,ACC0106727,519,EUR,32178,Salary,Internet Banking,DEV0069253,Addis Ababa,Ethiopia,1652e1a20db0895e,,INV0120789,Completed
TX00000049,2025-05-06T01:14:37.320789,ACC0072580,ACC0031685,10468,ETB,10468,Payment,Mobile Banking,DEV0005099,Bahir Dar,Ethiopia,ea48d7c22d4ce706,,INV0080924,Completed
TX00000050,2022-08-28T19:48:21.307607,ACC0113339,ACC0088944,15281,ETB,15281,Deposit,ATM,DEV0085473,Addis Ababa,Ethiopia,1c8daef4fea9b1cb,REF00000050,INV0069238,Completed
TX00000051,2022-01-07T03:59:21.323004,ACC0143760,ACC0056978,574,ETB,574,Transfer,Mobile Banking,DEV0068589,Jimma,Ethiopia,f5539cfbb92f0428,,INV0192194,Completed
TX00000052,2023-05-02T12:38:29.243179,ACC0143139,ACC0001624,50663,ETB,50663,Withdrawal,Internet Banking,DEV0066462,Dire Dawa,Ethiopia,152814b52dedfe15,,INV0180100,Completed
TX00000053,2024-11-10T18:02:49.360998,ACC0132299,ACC0126702,998,EUR,61876,Mobile Money,Internet Banking,DEV0063753,Jimma,Ethiopia,,,INV0109873,Completed
TX00000054,2025-06-29T10:41:14.054296,ACC0141768,ACC0033146,9764,EUR,605368,Payment,Mobile Banking,DEV0080530,Shashamane,Ethiopia,081ed6da8aca00d7,,INV0008579,Failed
TX00000055,2023-06-22T05:46:28.163824,ACC0025852,ACC0049584,1337,ETB,1337,Transfer,ATM,DEV0001117,Addis Ababa,Ethiopia,2d34551571495a58,,INV0067265,Completed
TX00000056,2024-02-06T06:40:50.426479,ACC0108105,ACC0062234,12538,ETB,12538,Mobile Money,Branch,DEV0046881,Addis Ababa,Ethiopia,929ab7caca82c7b7,REF00000056,,Completed
TX00000057,2023-05-15T14:42:59.925961,ACC0128734,ACC0083353,449,ETB,449,Mobile Money,Internet Banking,DEV0068021,Addis Ababa,Ethiopia,fa3e6c4851476ef8,,INV0167331,Completed
TX00000058,2023-09-21T13:20:35.839061,ACC0109660,ACC0071428,40133,ETB,40133,Transfer,Mobile Banking,DEV0021284,Bahir Dar,Ethiopia,35da3a5a434115ad,REF00000058,INV0100614,Completed
TX00000059,2025-10-04T14:36:14.919937,ACC0087842,ACC0137942,11824,ETB,11824,Withdrawal,Mobile Banking,DEV0080974,Addis Ababa,Ethiopia,3bab611526080095,,INV0075842,Completed
TX00000060,2024-08-12T16:39:14.047526,ACC0104558,ACC0088723,12721,ETB,12721,Deposit,Mobile Banking,DEV0041905,Adama,Ethiopia,9bb3aede1c02bbf3,,INV0112398,Completed
TX00000061,2024-10-31T04:44:06.051901,ACC0096696,ACC0126205,526,ETB,526,Transfer,Branch,DEV0018922,Addis Ababa,Ethiopia,7fc4f3c25b6e3499,REF00000061,INV0044899,Completed
TX00000062,2025-01-05T12:04:51.223181,ACC0082338,ACC0075209,92216,ETB,92216,Transfer,ATM,DEV0088911,Adama,Ethiopia,deb06f88db4bbf27,,INV0030115,Completed
TX00000063,2023-12-12T18:37:41.335886,ACC0081644,ACC0051307,356,ETB,356,Transfer,Mobile Banking,DEV0000231,Hawassa,Ethiopia,f01190f2aaad82c1,REF00000063,INV0074837,Completed
TX00000064,2025-02-15T20:07:11.024515,ACC0043663,ACC0092146,3049,ETB,3049,Payment,Internet Banking,DEV0002783,Hosaena,Ethiopia,58cf20e8cdfd849f,,INV0067735,Completed
TX00000065,2025-12-19T01:08:05.479001,ACC0038245,ACC0074494,20677,ETB,20677,Transfer,Mobile Banking,DEV0017238,Dire Dawa,Ethiopia,8ff0594636c2d5f4,,,Completed
TX00000066,2022-05-28T18:40:30.770601,ACC0063765,ACC0099915,3503,ETB,3503,Transfer,ATM,DEV0062000,Harar,Ethiopia,,,INV0168454,Completed
TX00000067,2024-10-11T19:39:08.121819,ACC0058139,ACC0048780,3140,ETB,3140,Transfer,Mobile Banking,DEV0057964,Adama,Ethiopia,c61245525524a05a,REF00000067,INV0097530,Completed
TX00000068,2022-10-28T21:48:00.222673,ACC0135356,ACC0043243,26163,ETB,26163,Transfer,Internet Banking,DEV0068421,Dilla,Ethiopia,cc615fcddf5ee9ec,REF00000068,INV0125504,Completed
TX00000069,2024-01-12T06:21:02.444532,ACC0130829,ACC0068505,120863,ETB,120863,Deposit,USSD,DEV0077839,Addis Ababa,Ethiopia,4957eadbda5bf3b2,REF00000069,INV0117464,Completed
TX00000070,2024-12-24T08:44:47.660511,ACC0149181,ACC0028445,3925,ETB,3925,Transfer,ATM,DEV0046618,Hawassa,Ethiopia,3c840fb19028baa5,,,Completed
TX00000071,2023-05-21T15:21:42.986173,ACC0002447,ACC0098027,2887,ETB,2887,Bill Payment,Mobile Banking,DEV0043364,Adama,Ethiopia,f9a3759319bc135b,REF00000071,,Completed
TX00000072,2023-05-05T02:13:58.409393,ACC0127680,ACC0130883,4178,ETB,4178,Deposit,Mobile Banking,DEV0079085,Adama,Ethiopia,65c33de82f3115b8,,INV0139187,Completed
TX00000073,2025-03-09T17:58:38.556983,ACC0022382,ACC0029635,28021,ETB,28021,Deposit,Mobile Banking,DEV0039435,Addis Ababa,Ethiopia,f715de9d3e156b69,,INV0195418,Completed
TX00000074,2023-12-09T22:47:08.772294,ACC0100284,ACC0095279,114378,ETB,114378,Withdrawal,ATM,DEV0083210,Dilla,Ethiopia,1fa869ae92013b77,,INV0090533,Completed
TX00000075,2024-06-16T20:19:14.692482,ACC0072683,ACC0109491,109,EUR,6758,Transfer,Mobile Banking,DEV0086472,Addis Ababa,Ethiopia,c5d7952228180095,REF00000075,INV0129130,Completed
TX00000076,2024-04-10T09:02:06.549628,ACC0067932,ACC0006943,12441,EUR,771342,Payment,Mobile Banking,DEV0047981,Addis Ababa,Ethiopia,2f3dfeb16b3a3db8,,INV0060205,Failed
TX00000077,2025-11-20T17:57:49.275703,ACC0079257,ACC0037852,12654,ETB,12654,Transfer,Branch,DEV0089535,Addis Ababa,Ethiopia,9073145f49910f02,,INV0095850,Completed
TX00000078,2023-05-19T19:09:46.827664,ACC0097293,ACC0055993,12485,GBP,898920,Deposit,USSD,DEV0075837,Mekelle,Ethiopia,736834a1879f41fc,,INV0029200,Completed
TX00000079,2023-04-07T03:01:55.508722,ACC0117275,ACC0028304,4256,USD,244720,Withdrawal,Mobile Banking,DEV0028593,Addis Ababa,Ethiopia,fd1564cea1c65fbf,,,Completed
TX00000080,2022-08-08T12:48:51.929760,ACC0129730,ACC0062830,1105,ETB,1105,Withdrawal,Mobile Banking,DEV0063329,Dessie,Ethiopia,,,INV0102377,Completed
TX00000081,2022-05-17T15:17:15.497162,ACC0080357,ACC0087764,3128,USD,179860,Payment,Mobile Banking,DEV0058450,Shashamane,Ethiopia,,,,Completed
TX00000082,2022-08-19T20:33:05.588005,ACC0141301,ACC0043352,3182,ETB,3182,Deposit,Branch,DEV0038366,Bishoftu,Ethiopia,c62df93cc056595a,,INV0008899,Completed
TX00000083,2024-12-11T16:52:08.814088,ACC0037111,ACC0108783,358,USD,20585,Withdrawal,Mobile Banking,DEV0021302,Bahir Dar,Ethiopia,002e31980cae3f15,REF00000083,,Completed
TX00000084,2022-01-27T13:26:01.320048,ACC0144958,ACC0103731,25788,ETB,25788,Withdrawal,Mobile Banking,DEV0024892,Hawassa,Ethiopia,652a999d0c489f58,REF00000084,INV0009520,Completed
TX00000085,2023-06-19T08:27:35.992003,ACC0035160,ACC0029505,1029,GBP,74088,Deposit,ATM,DEV0030522,Dire Dawa,Ethiopia,5967ff1ed36014b9,,INV0122374,Completed
TX00000086,2023-09-10T01:46:06.302007,ACC0002364,ACC0040902,19589,ETB,19589,Payment,Internet Banking,DEV0047837,Harar,Ethiopia,f3059fdbf37364d7,,INV0186370,Completed
TX00000087,2022-01-12T13:08:13.143728,ACC0012574,ACC0075515,3164,ETB,3164,Transfer,Mobile Banking,DEV0058792,Addis Ababa,Ethiopia,a2b271d982841491,REF00000087,INV0006120,Failed
TX00000088,2024-10-15T18:33:07.842959,ACC0094512,ACC0007977,7660,ETB,7660,Deposit,Mobile Banking,DEV0029580,Dire Dawa,Ethiopia,fbaede0ea292bf8e,,,Completed
TX00000089,2022-06-15T23:15:17.522913,ACC0017445,ACC0039421,890,ETB,890,Transfer,Mobile Banking,DEV0035333,Addis Ababa,Ethiopia,ce436fd6b6a7db84,,,Completed
TX00000090,2025-12-16T06:36:45.804287,ACC0035399,ACC0011091,9428,ETB,9428,Deposit,Internet Banking,DEV0085524,Hawassa,Ethiopia,2cd07fd6b03b0e7d,,INV0162674,Completed
TX00000091,2025-12-03T12:09:03.278084,ACC0125101,ACC0079201,4646,ETB,4646,Transfer,ATM,DEV0050547,Addis Ababa,Ethiopia,459a78ae17bc71ba,,,Failed
TX00000092,2025-06-04T17:15:40.133904,ACC0003866,ACC0014359,4358,EUR,270196,Deposit,POS,DEV0009132,Harar,Ethiopia,68a1a7a6c3e94b2c,,,Pending
TX00000093,2023-06-28T23:48:12.002179,ACC0025493,ACC0149148,13540,ETB,13540,Withdrawal,Internet Banking,DEV0021103,Asella,Ethiopia,7392af9b2a460906,REF00000093,INV0185096,Completed
TX00000094,2024-07-12T23:01:39.503769,ACC0007619,ACC0090816,679,ETB,679,Payment,USSD,,Nekemte,Ethiopia,6c85e3c6047cd233,,INV0139084,Completed
TX00000095,2024-08-04T12:10:17.615628,ACC0072773,ACC0135254,119852,ETB,119852,Payment,Internet Banking,DEV0044199,Dessie,Ethiopia,9614e3b25e3bb60c,,INV0049308,Pending
TX00000096,2024-03-22T15:33:46.603001,ACC0124251,ACC0122040,381,ETB,381,Transfer,Internet Banking,DEV0042428,Addis Ababa,Ethiopia,40b0d2b50dab9728,,INV0002894,Completed
TX00000097,2022-07-20T12:27:44.573485,ACC0012020,ACC0118884,2581,ETB,2581,Payment,Mobile Banking,DEV0088750,Gondar,Ethiopia,cffc97d0b191683a,,,Completed
TX00000098,2025-05-29T02:16:38.233402,ACC0064076,ACC0087614,27221,USD,1565208,Transfer,ATM,DEV0021599,Gondar,Ethiopia,8d53d5c8be072a3b,,INV0041717,Completed
TX00000099,2024-04-30T18:27:56.048651,ACC0043660,ACC0048129,24197,USD,1391328,Payment,USSD,DEV0064765,Dire Dawa,Ethiopia,75204556e70e9e77,,,Completed
TX00000100,2023-03-24T03:02:00.199431,ACC0014140,ACC0078464,563,ETB,563,Deposit,USSD,DEV0082256,Dire Dawa,Ethiopia,2fe4f8f9487bb0ca,,INV0049266,Completed
TX00000101,2024-04-05T16:40:31.270267,ACC0093708,ACC0127749,23924,ETB,23924,Mobile Money,ATM,DEV0071576,Bahir Dar,Ethiopia,,REF00000101,INV0126830,Completed
TX00000102,2025-02-04T18:33:29.788596,ACC0141843,ACC0044385,32973,ETB,32973,Transfer,Mobile Banking,DEV0075202,Arba Minch,Ethiopia,2f50719b0951a447,REF00000102,INV0173308,Completed
TX00000103,2023-05-04T15:00:26.497813,ACC0088766,ACC0125063,14232,ETB,14232,Payment,Mobile Banking,DEV0000647,Addis Ababa,Ethiopia,85ba3550f7ea5468,,INV0192001,Completed
TX00000104,2024-08-15T15:28:24.643042,ACC0072724,ACC0111202,8385,EUR,519870,Withdrawal,Mobile Banking,DEV0059288,Hawassa,Ethiopia,f5cf21d36a65f3c3,,INV0053225,Completed
TX00000105,2023-09-03T17:10:15.555980,ACC0002811,ACC0102352,55715,USD,3203612,Payment,ATM,,Shashamane,Ethiopia,35201abcf256ac42,,INV0106213,Completed
TX00000106,2025-02-08T08:39:51.146954,ACC0108021,ACC0018757,3192,ETB,3192,Loan Disbursement,Mobile Banking,DEV0059556,Addis Ababa,Ethiopia,,,,Completed
TX00000107,2025-10-30T23:56:28.961606,ACC0020898,ACC0104443,924,ETB,924,Payment,Mobile Banking,DEV0030163,Hawassa,Ethiopia,,REF00000107,,Completed
TX00000108,2025-06-25T07:20:34.499992,ACC0084208,ACC0100239,5574,ETB,5574,Deposit,Mobile Banking,DEV0026217,Dessie,Ethiopia,4edc7bac69224a22,,INV0077797,Completed
TX00000109,2023-03-18T20:43:02.914827,ACC0117582,ACC0081339,64667,ETB,64667,Transfer,Internet Banking,DEV0017753,Dire Dawa,Ethiopia,a94a39ecf443a715,REF00000109,INV0000069,Failed
TX00000110,2025-11-14T21:13:53.087281,ACC0081710,ACC0097447,5649,EUR,350238,Deposit,Internet Banking,,Addis Ababa,Ethiopia,bdc232db83e4b0ae,,INV0144751,Completed
TX00000111,2023-06-25T09:13:17.878191,ACC0019333,ACC0080720,2849,USD,163818,Loan Disbursement,Mobile Banking,DEV0032542,Dilla,Ethiopia,a1d28a832470078d,,INV0108589,Completed
TX00000112,2023-02-25T03:21:03.849684,ACC0084685,ACC0077894,8815,USD,506862,Withdrawal,Mobile Banking,DEV0069925,Adama,Ethiopia,,REF00000112,INV0163795,Completed
TX00000113,2025-01-04T22:50:43.051584,ACC0031722,ACC0130234,18760,ETB,18760,Withdrawal,Mobile Banking,DEV0076786,Dire Dawa,Ethiopia,04d7b3bee3ad05ba,REF00000113,,Completed
TX00000114,2025-08-22T18:34:18.966953,ACC0038217,ACC0128252,10165,ETB,10165,Deposit,Mobile Banking,DEV0010311,Hawassa,Ethiopia,369b2767ba94e3ed,,INV0155200,Completed
TX00000115,2023-09-25T13:09:52.271962,ACC0041838,ACC0084803,21036,USD,1209570,Withdrawal,Mobile Banking,DEV0037803,Addis Ababa,Ethiopia,0f708fddbec84c23,,INV0147648,Completed
TX00000116,2023-10-11T03:54:33.774032,ACC0052846,ACC0026409,21087,ETB,21087,Payment,Mobile Banking,DEV0049554,Jijiga,Ethiopia,f2f5e349c2e9c5b0,,INV0104773,Completed
TX00000117,2024-03-14T06:01:01.893981,ACC0046610,ACC0060157,6800,ETB,6800,Deposit,Mobile Banking,DEV0063666,Dire Dawa,Ethiopia,7315e46343f1fa10,REF00000117,INV0050883,Completed
TX00000118,2022-12-30T10:10:24.729114,ACC0025927,ACC0018689,9837,GBP,708264,Payment,Internet Banking,DEV0019747,Shashamane,Ethiopia,291139e02b10447e,REF00000118,INV0169843,Completed
TX00000119,2023-05-13T12:17:07.252343,ACC0009812,ACC0030546,1480,ETB,1480,Loan Repayment,ATM,DEV0070227,Jimma,Ethiopia,b6e4c555b48ba75f,,INV0130527,Completed
TX00000120,2025-08-15T19:39:55.123701,ACC0113203,ACC0139281,428805,ETB,428805,Payment,Mobile Banking,DEV0056525,Dilla,Ethiopia,5d1087f2ba51c1af,,,Completed
TX00000121,2024-08-20T17:04:57.618595,ACC0034951,ACC0034909,6240,USD,358800,Payment,USSD,DEV0069351,Harar,Ethiopia,3f87f903c0461baf,REF00000121,INV0179882,Completed
TX00000122,2023-05-04T20:17:17.184030,ACC0072635,ACC0085061,988,ETB,988,Withdrawal,USSD,DEV0076649,Debre Birhan,Ethiopia,8d8443a4da57c2d5,,INV0025575,Completed
TX00000123,2025-12-08T15:44:30.722912,ACC0051434,ACC0083082,5986,ETB,5986,Mobile Money,USSD,,Addis Ababa,Ethiopia,3eb77ff1c985e4d7,,,Completed
TX00000124,2022-07-16T10:48:57.861605,ACC0074712,ACC0105194,609,ETB,609,Transfer,Mobile Banking,DEV0047831,Addis Ababa,Ethiopia,,,,Completed
TX00000125,2023-02-09T09:00:27.649819,ACC0078358,ACC0047006,596,ETB,596,Deposit,Mobile Banking,DEV0051321,Hosaena,Ethiopia,4a3150d74111c738,,INV0195086,Completed
TX00000126,2023-02-10T15:11:17.393780,ACC0053379,ACC0068317,79,ETB,79,FX Exchange,Mobile Banking,DEV0006369,Dire Dawa,Ethiopia,ba05a5311b56e825,REF00000126,INV0099360,Reversed
TX00000127,2025-07-03T11:28:25.051476,ACC0092905,ACC0051489,892,ETB,892,Payment,Branch,DEV0066865,Dessie,Ethiopia,,,INV0131744,Completed
TX00000128,2022-05-06T00:39:29.033846,ACC0144683,ACC0066397,32655,ETB,32655,Bill Payment,Mobile Banking,DEV0063737,Addis Ababa,Ethiopia,c9441dead8e2ac69,,,Completed
TX00000129,2022-03-10T18:32:14.917405,ACC0076066,ACC0129161,1638,ETB,1638,Withdrawal,Mobile Banking,DEV0035563,Bahir Dar,Ethiopia,3597c776779edf43,,,Completed
TX00000130,2024-12-31T00:55:55.212086,ACC0142249,ACC0148870,3533,ETB,3533,Deposit,Branch,DEV0025909,Gondar,Ethiopia,6d98ee8f24bd4e51,,INV0005729,Completed
TX00000131,2024-09-13T03:17:08.729950,ACC0140730,ACC0084258,2325,ETB,2325,Transfer,Mobile Banking,DEV0086472,Asella,Ethiopia,fa353237335998e4,REF00000131,INV0082907,Completed
TX00000132,2023-04-12T07:23:52.059659,ACC0065662,ACC0065487,4964,ETB,4964,Payment,Branch,DEV0085902,Addis Ababa,Ethiopia,80fea73f4912e237,,INV0043322,Pending
TX00000133,2025-05-23T03:29:48.961359,ACC0109436,ACC0086111,13137,ETB,13137,Bill Payment,Mobile Banking,DEV0044884,Mekelle,Ethiopia,,REF00000133,INV0038093,Completed
TX00000134,2022-06-03T06:31:14.850604,ACC0009740,ACC0022749,233070,ETB,233070,Payment,Internet Banking,DEV0044139,Harar,Ethiopia,b7c0536ff30f0422,REF00000134,INV0188065,Completed
TX00000135,2025-10-06T16:26:07.748235,ACC0101636,ACC0013694,6293,ETB,6293,Deposit,Mobile Banking,DEV0037237,Mekelle,Ethiopia,94ee2213ae2fcb36,,INV0108576,Completed
TX00000136,2022-11-06T04:35:08.824462,ACC0140613,ACC0065251,4416,ETB,4416,Payment,ATM,DEV0029005,Dire Dawa,Ethiopia,14b181481c26f2b5,,INV0070666,Failed
TX00000137,2022-06-11T13:56:37.986905,ACC0068631,ACC0024462,2601,ETB,2601,Transfer,ATM,DEV0085358,Addis Ababa,Ethiopia,dc785760bee4f644,REF00000137,INV0145896,Completed
TX00000138,2024-10-11T07:34:19.645730,ACC0104171,ACC0107823,2695,ETB,2695,Transfer,ATM,DEV0037542,Sodo,Ethiopia,f55d2668c8aaba4e,REF00000138,,Completed
TX00000139,2024-03-31T01:54:35.398827,ACC0017590,ACC0130225,6080,ETB,6080,Loan Disbursement,ATM,DEV0044153,Addis Ababa,Ethiopia,9720faf491da1381,REF00000139,,Completed
TX00000140,2023-09-09T17:54:00.029528,ACC0059652,ACC0074485,55341,ETB,55341,Payment,ATM,DEV0011232,Addis Ababa,Ethiopia,b8506be7d1b85d87,,INV0153292,Completed
