person_id,first_name,last_name,date_of_birth,gender,nationality,occupation,employment_status,declared_monthly_income,income_currency,city,region,country,phone_hash,address_hash,created_at
P000021,Rahel,Getachew,1990-12-29,F,Ethiopian,freelancer,Self-Employed,22765,ETB,Nekemte,Oromia,Ethiopia,5ef111b8a6dd7997,059590296726bce2,2025-09-18T13:35:20.287898
P000022,Gebre-Mariam,Menelik,1980-12-22,M,Ethiopian,security_guard,Employed,3801,ETB,Hawassa,Sidama,Ethiopia,492dd36018fc8403,1b16eee78271f4f7,2024-08-06T07:54:29.698202
P000023,Rebka,Mulugeta,2005-05-26,F,Ethiopian,software_engineer,Employed,21017,ETB,Dire Dawa,Dire Dawa,Ethiopia,1c8bf6b1e4b8960c,57d370b29fca24f0,2024-09-19T07:52:34.358008
P000024,Muluemebet,Abera,1986-02-26,F,Ethiopian,teacher,Employed,4108,ETB,Arba Minch,SNNPR,Ethiopia,,20c752847a7ecd54,2022-02-20T01:24:41.518370
P000025,Tsion,Haile,1974-04-30,F,Ethiopian,freelancer,Self-Employed,17633,ETB,Hawassa,Sidama,Ethiopia,2caddeb5d75ad93c,,2022-12-17T10:42:14.759551
P000026,Fikremariam,Ketema,1969-06-30,M,Ethiopian,security_guard,Employed,6324,ETB,Addis Ababa,Addis Ababa,Ethiopia,f706f46aad08ad04,a93360800db75871,2024-10-22T16:42:48.208061
P000027,Fistum,Mekbib,1997-05-24,M,Ethiopian,cashier,Employed,13415,ETB,Jijiga,Somali,Ethiopia,0530f72e91bbc455,,2025-03-08T16:57:36.922843
P000028,Adane,sOFONYAS,1999-07-14,M,Ethiopian,cashier,Employed,7658,ETB,Dire Dawa,Dire Dawa,Ethiopia,d04a9f64661afc35,82ababe790ae4057,2025-12-19T14:17:05.166253
P000029,Solomon,Liku,1984-05-01,M,Ethiopian,software_engineer,Employed,48641,ETB,Addis Ababa,Addis Ababa,Ethiopia,6ad3bcd2625304b6,64330483e66e6d6c,2024-09-04T01:42:58.777739
P000030,Hamelmal,Lemma,1985-08-16,F,Ethiopian,security_guard,Employed,4345,ETB,Addis Ababa,Addis Ababa,Ethiopia,8947370aa836035c,ec48c75dfba2bcff,2023-05-29T21:21:01.436088
P000031,Abenet,Kiros,1983-01-02,F,Other,freelancer,Self-Employed,29041,ETB,Dessie,Amhara,Ethiopia,,c4415ad60b515aa4,2025-04-30T14:26:58.096066
P000032,Kalkidan,Girmachew,1996-12-08,F,Ethiopian,software_engineer,Employed,29606,ETB,Dessie,Amhara,Ethiopia,a9cd306d00fe128d,78ee18796b7c1e69,2025-08-10T09:34:06.124036
P000033,Afework,Getahun,1965-04-27,M,Other,government_employee,Employed,17284,ETB,Addis Ababa,Addis Ababa,Ethiopia,b067d22bdbc8c7dc,bd9fd83ecdc84ebe,2024-06-13T22:38:45.395319
P000034,Abayneh,Siraj,2007-04-23,M,Ethiopian,day_laborer,Employed,2888,ETB,Addis Ababa,Addis Ababa,Ethiopia,beb6f6978a9e3676,24504134d5ffcfb1,2024-06-21T04:38:19.889910
P000035,Liku,Khalid,1979-10-27,M,Other,unemployed,Unemployed,2000,ETB,Dessie,Amhara,Ethiopia,a6bfa5e4cfe949d3,92204971a433f3fc,2022-03-29T03:32:01.908958
P000036,Tilahun,Hailu,1987-03-16,M,Ethiopian,teacher,Employed,10615,ETB,Bahir Dar,Amhara,Ethiopia,7fc5c8dcc2f39bc0,558f9d46e5166520,2023-06-23T17:18:32.907808
P000037,Nathnael,Girmachew,1978-03-13,M,Ethiopian,farmer,Self-Employed,5972,ETB,Adama,Oromia,Ethiopia,a209f78d4320b89c,8290232c43018d93,2022-05-29T09:42:58.960286
P000038,Mesfin,Efrem,2006-07-16,M,Ethiopian,security_guard,Employed,6650,ETB,Arba Minch,SNNPR,Ethiopia,7ad7b1a2a588169a,4ecd9b600b464223,2025-06-11T17:28:18.544223
P000039,Haile-Selassie,Simon,1996-03-28,M,Ethiopian,software_engineer,,19542,ETB,Nekemte,Oromia,Ethiopia,,2b84869f8cfd5426,2023-10-19T06:39:11.842243
P000040,Nardos,Aschalew,1979-06-04,F,Ethiopian,software_engineer,Employed,45417,ETB,Addis Ababa,Addis Ababa,Ethiopia,24c1c46f2f4bbd0f,f6bbb7da4ad00373,2025-05-18T19:06:13.833355
P000041,Kassaye,Hiruy,1963-05-07,M,Ethiopian,freelancer,Self-Employed,17277,ETB,Addis Ababa,Addis Ababa,Ethiopia,0a44bdf13bf5bca6,ff7e79234e2ec720,2023-01-26T11:31:33.342645
P000042,Melat,Demeke,1966-02-03,F,Ethiopian,domestic_worker,Employed,8872,ETB,Harar,Harari,Ethiopia,9f3eb05927e08a95,,2022-12-21T22:48:56.091748
P000043,Hanan,Nahom,1983-09-22,F,Ethiopian,farmer,Self-Employed,7234,ETB,Adama,Oromia,Ethiopia,5846a3d2633fb22c,250b9e9d4f45c527,2024-10-11T11:24:11.300797
P000044,Chebude,Dilnesaw,1987-10-02,M,Ethiopian,student,Student,3743,ETB,Dessie,Amhara,Ethiopia,bcd431f65981a8a0,5fac5e460b09877c,2024-02-21T17:21:24.516403
P000045,Adanech,Girma,1993-08-09,F,Ethiopian,domestic_worker,Employed,2006,ETB,Addis Ababa,Addis Ababa,Ethiopia,7ec5a4e0b3d6eb94,,2024-09-02T08:52:32.209097
P000046,Abenet,Fekre-Mariam,1998-01-17,F,Ethiopian,driver,Employed,6405,ETB,Jijiga,Somali,Ethiopia,4d19c40e3e37274a,61d202b530992729,2025-01-09T06:30:07.285103
P000047,Dejen,Wasihun,1961-10-05,M,Ethiopian,unemployed,Unemployed,2000,ETB,Hosaena,SNNPR,Ethiopia,01db3001875059ee,4f5f1ff75b415c39,2025-08-20T20:15:57.405413
P000048,Mitiku,Daniel,1979-07-01,M,Ethiopian,merchant,Self-Employed,11991,ETB,Addis Ababa,Addis Ababa,Ethiopia,394367560f0c1ace,95a0224aaf2517da,2025-03-11T00:19:40.716749
P000049,Ejigayehu,Tarik,1994-09-17,F,Ethiopian,business_owner,Self-Employed,24289,ETB,Harar,Harari,Ethiopia,ce0a6e4aea9d4e96,,2025-07-17T07:44:10.269733
P000050,Alex,Nathnael,1976-07-19,M,Ethiopian,software_engineer,Employed,19705,ETB,Gondar,Amhara,Ethiopia,498d0e524a11991b,93e564afced0bf8c,2025-12-10T06:12:05.159591
P000051,Eyasu,Tsegaye,2005-11-24,M,Ethiopian,teacher,Employed,10770,ETB,Shashamane,Oromia,Ethiopia,490a6c32dba32acd,9183dd13c61117e9,2022-10-07T09:48:51.777670
P000052,Abay,Belay,1979-02-08,M,Ethiopian,engineer,Employed,54699,ETB,Shashamane,Oromia,Ethiopia,e5b42e0e73166616,,2025-01-27T08:25:53.793954
P000053,Betelhem,Abiy,1982-09-03,F,Ethiopian,day_laborer,Employed,3233,ETB,Dire Dawa,Dire Dawa,Ethiopia,,20bb4f3ea2f74b5c,2025-10-26T12:15:34.501337
P000054,Misgana,Mussie,1988-08-30,F,Ethiopian,farmer,Self-Employed,9075,ETB,Arba Minch,SNNPR,Ethiopia,4b189d5c07964c0e,,2022-12-06T04:57:34.093654
P000055,Lidet,Muluken,1975-03-30,F,Ethiopian,student,Student,8864,ETB,Shashamane,Oromia,Ethiopia,5ef094c2b89bdb6c,,2024-08-17T18:12:20.345515
P000056,Deborah,Bekele,1990-02-25,F,Ethiopian,freelancer,Self-Employed,21966,ETB,Mekelle,Tigray,Ethiopia,,5d3481e3ba8bc362,2024-06-13T05:07:30.587895
P000057,Markos,Shewangizaw,1965-05-08,M,Ethiopian,government_employee,Employed,20570,ETB,Addis Ababa,Addis Ababa,Ethiopia,1b6f999f19b97936,35161d3f24cd0627,2025-12-21T21:58:09.319827
P000058,Aynalem,Yidnekachew,1980-08-31,F,Ethiopian,day_laborer,Employed,6916,ETB,Addis Ababa,Addis Ababa,Ethiopia,6cfd595965cad996,,2025-04-21T05:46:21.835742
P000059,Nebil,Adane,1962-02-28,M,Ethiopian,business_owner,Self-Employed,40839,ETB,Mekelle,Tigray,Ethiopia,,c08144616a68d270,2024-03-25T18:32:46.316672
P000060,Aman,Hassen,1996-07-26,M,Ethiopian,student,Student,4021,ETB,Addis Ababa,Addis Ababa,Ethiopia,4ef6cb4ddf4c7e8b,,2025-08-21T15:30:31.595172
P000061,Selam,Metaferia,1968-06-13,F,Ethiopian,software_engineer,Employed,14554,ETB,Dire Dawa,Dire Dawa,Ethiopia,9e7e394c91497624,e5b6709c24c742fa,2022-07-21T12:07:20.424015
P000062,Fasil,Fekre-Selasie,2006-06-16,M,Ethiopian,business_owner,Self-Employed,51816,ETB,Bahir Dar,Amhara,Ethiopia,f686e437be796beb,9480f59fc93bced6,2023-10-29T18:07:34.635976
P000063,Etenesh,Abenet,1996-01-14,F,Other,domestic_worker,Employed,9333,ETB,Dire Dawa,Dire Dawa,Ethiopia,88bd67cf8c4ae18c,ea6b7894d109b490,2024-10-07T23:16:37.159628
P000064,Semira,Fekre-Mariam,2004-01-07,F,Ethiopian,cashier,Employed,6045,ETB,Shashamane,Oromia,Ethiopia,2fffddb170645c7b,994ee7186bf1ea51,2023-06-25T03:10:55.858384
P000065,Selam,Yafet,1991-10-09,F,Other,security_guard,Employed,8709,ETB,Adama,Oromia,Ethiopia,,94631b66856408a5,2025-05-18T18:47:10.820719
P000066,Betsega,Israel,1987-03-29,F,Ethiopian,teacher,Employed,7748,ETB,Bahir Dar,Amhara,Ethiopia,866649da1881dae4,71872fd078ba3af3,2022-12-18T23:48:15.417353
P000067,Alemtsehay,Gebre-Giorgis,1963-06-19,F,Ethiopian,day_laborer,Employed,2849,ETB,Dire Dawa,Dire Dawa,Ethiopia,ed59dc406aeb27eb,12376498abeea33e,2025-04-09T06:17:42.114248
P000068,Gedion,Mohammed,1986-08-30,M,Ethiopian,driver,Employed,12740,ETB,Addis Ababa,Addis Ababa,Ethiopia,43d3590455acb2a6,da5c79422a3f6cd9,2023-07-18T10:47:42.537281
P000069,Eskinder,Abdu,1992-10-26,M,Ethiopian,day_laborer,Employed,7696,ETB,Addis Ababa,Addis Ababa,Ethiopia,27ac306184089430,ee55284b4256ea1c,2022-08-31T18:45:42.633003
P000070,Tibebu,Biruk,1974-06-04,M,Ethiopian,freelancer,Self-Employed,18671,ETB,Nekemte,Oromia,Ethiopia,9a2f6a6a854ae78c,,2024-03-29T19:15:40.557316
P000071,Atinafu,Zekarias,1974-12-17,M,Ethiopian,unemployed,Unemployed,3282,ETB,Addis Ababa,Addis Ababa,Ethiopia,da77bd75aaf2b856,c994b7e83d905403,2025-11-15T08:39:39.990622
P000072,Gedion,Negash,1991-08-01,M,Ethiopian,farmer,Self-Employed,5093,ETB,Bahir Dar,Amhara,Ethiopia,c553b6a5f331c4ec,401791102df960d0,2022-10-29T17:25:30.112786
P000073,Lielt,Michael,1987-07-17,F,Other,teacher,Employed,36372,ETB,Addis Ababa,Addis Ababa,Ethiopia,3f556b3c9d416219,d5d2301de662a529,2024-07-10T18:41:11.120535
P000074,Aklilu,Chebude,1963-05-20,M,Ethiopian,day_laborer,Employed,6611,ETB,Addis Ababa,Addis Ababa,Ethiopia,65baddb024470a9c,aae207050de81712,2023-03-14T10:32:30.214201
P000075,Bisrat,Haile-Mariam,1999-04-15,M,Ethiopian,software_engineer,Employed,20148,ETB,Addis Ababa,Addis Ababa,Ethiopia,a2f5093ae7e8e123,45fd106f9d46e4a2,2025-06-18T22:02:45.242433
P000076,Ermias,Molalign,1986-05-12,M,Ethiopian,day_laborer,Employed,11558,ETB,Nekemte,Oromia,Ethiopia,3eab982562ccb360,ca2f55a98dba5599,2022-11-08T19:44:29.196896
P000077,Zelalem,Addisu,1994-04-26,M,Ethiopian,software_engineer,Employed,67928,ETB,Jijiga,Somali,Ethiopia,1333230d75036031,,2025-03-24T16:51:00.001965
P000078,Tizita,Abiy,2002-10-13,F,Ethiopian,teacher,Employed,4585,ETB,Mekelle,Tigray,Ethiopia,ffce73ec57d62f33,5849c98c0b85d112,2022-02-04T00:13:00.346270
P000079,Seble,Dejen,1970-01-08,F,Ethiopian,student,Student,4920,ETB,Dessie,Amhara,Ethiopia,ba1d41fb5e60a8ce,addce13f8242c223,2023-07-26T12:21:20.778586
P000080,Abebaye,Habte,1995-07-15,F,Ethiopian,student,Student,2995,ETB,Arba Minch,SNNPR,Ethiopia,8deda44f42422477,4ecbf8c273817508,2024-03-25T07:27:58.977525
P000081,Yabsira,Tesema,1970-10-27,F,Ethiopian,nurse,Employed,12303,ETB,Addis Ababa,Addis Ababa,Ethiopia,73690c70372751ae,54f14034fc32ef20,2022-06-06T14:39:24.284968
P000082,Haile-Selassie,Bekele,1971-05-03,M,Ethiopian,merchant,Self-Employed,15875,ETB,Adama,Oromia,Ethiopia,592436f3e6ed8e53,4d819f25e6acd0c7,2025-06-04T06:34:40.802076
P000083,Netsanet,Kassaye,1963-07-02,F,Ethiopian,farmer,Self-Employed,5699,ETB,Adama,Oromia,Ethiopia,2b48d76d7c0b3712,7a8cfb1b64969095,2023-03-18T19:23:15.486925
P000084,Desta,Sebhat,1968-09-08,M,Ethiopian,day_laborer,Employed,5141,ETB,Addis Ababa,Addis Ababa,Ethiopia,3c0276a3d4e7ad8c,86db04f4d74adb72,2024-09-23T08:51:22.211483
P000085,Jemal,Surafel,1961-02-21,M,Ethiopian,driver,Employed,20088,ETB,Debre Birhan,Amhara,Ethiopia,5c80696273c6d7bf,,2024-10-04T13:43:41.054608
P000086,Asefa,Abera,1999-10-08,M,Ethiopian,day_laborer,Employed,7280,ETB,Bahir Dar,Amhara,Ethiopia,5cad144a0ac9c525,7d97331e046079f5,2025-10-06T07:03:04.060054
P000087,Nardos,Andargachew,1982-07-27,F,Ethiopian,ngo_worker,Employed,46733,ETB,Mekelle,Tigray,Ethiopia,446585340b9c7e3e,787a20bb20baa4f5,2023-04-23T03:25:57.985491
P000088,Andargachew,Girma,2002-07-11,M,Ethiopian,teacher,,4489,ETB,Addis Ababa,Addis Ababa,Ethiopia,d4f67e9051fe6d49,,2023-02-25T05:39:09.826908
P000089,Akalu,Metaferia,1998-05-19,M,Ethiopian,government_employee,,9401,ETB,Addis Ababa,Addis Ababa,Ethiopia,4820caa873c7f321,087cf9fb3cfd701e,2024-05-21T02:38:43.939578
P000090,Misrak,Wuhib,1978-10-15,F,Ethiopian,farmer,Self-Employed,2766,ETB,Harar,Harari,Ethiopia,95a5e194367f1da0,215f3f4485353859,2022-04-21T03:44:54.425075
P000091,Nolawi,Adugna,2002-04-21,M,Ethiopian,student,Student,2401,ETB,Gondar,Amhara,Ethiopia,e200d8096b20d78a,c92e788cf1efc5b7,2023-04-28T12:44:13.867295
P000092,Gelila,Husein,1975-03-06,F,Ethiopian,teacher,Employed,15968,ETB,Addis Ababa,Addis Ababa,Ethiopia,,df7c2b654eed2d8f,2025-07-15T15:39:35.696094
P000093,Siraj,Teferri,2006-11-14,M,Ethiopian,government_employee,Employed,11667,ETB,Addis Ababa,Addis Ababa,Ethiopia,30b3ec30c97bad1b,,2022-03-25T06:09:30.958570
P000094,Moges,Dejen,1976-03-06,M,Ethiopian,doctor,Employed,47921,ETB,Addis Ababa,Addis Ababa,Ethiopia,40004bb4cc41fec3,fffbf89f6f0a7bd4,2024-11-08T18:42:46.519723
P000095,Abenezer,Endale,1978-10-03,M,Ethiopian,driver,Employed,4429,ETB,Gondar,Amhara,Ethiopia,ea3bffe6fcc7baf0,f31fae94e1e2ae0a,2022-08-10T07:30:24.459610
P000096,Taitu,Shimelis,1971-07-24,F,Ethiopian,freelancer,Self-Employed,16773,ETB,Hawassa,Sidama,Ethiopia,0dfc5147af56e39f,5a46ea750790c95d,2022-01-28T19:29:32.156589
P000097,Efrem,Kassahun,1971-10-18,M,Ethiopian,freelancer,Self-Employed,15453,ETB,Bishoftu,Oromia,Ethiopia,59957c2baa1ad698,34712394b9e2c86d,2022-10-16T21:05:47.897460
P000098,Zekarias,Muluken,1970-03-26,M,Other,teacher,Employed,8976,ETB,Adama,Oromia,Ethiopia,1282ad750a0a3c62,37153b1f76473674,2024-07-28T23:24:46.680985
P000099,Lake,Yakob,1991-01-26,M,Ethiopian,security_guard,Employed,10755,ETB,Hosaena,SNNPR,Ethiopia,54cdee46a3b33da5,f1456e58f5f110ea,2025-09-24T19:16:44.691936
P000100,Lidiya,Abate,1969-11-14,F,Ethiopian,farmer,Self-Employed,6862,ETB,Adama,Oromia,Ethiopia,cdbc545e904a6f42,5b380bc5e991e276,2023-01-15T21:59:10.591979
P000101,Yordanos,Kiros,2004-03-23,F,Ethiopian,day_laborer,Employed,5384,ETB,Hawassa,Sidama,Ethiopia,5be49faf671bd4fb,0415abf549df3be1,2022-05-12T11:28:49.894663
P000102,Senait,Abebe,2007-08-26,F,Ethiopian,freelancer,Self-Employed,44855,ETB,Adama,Oromia,Ethiopia,d289bdddf5143022,8dbf27fb2a030fae,2023-06-17T02:40:27.624096
P000103,Nebil,Matheos,1990-06-17,M,Ethiopian,student,Student,9349,ETB,Mekelle,Tigray,Ethiopia,61f3f7511b437000,c81a9fa5617345d8,2025-09-15T10:30:16.752990
P000104,Aklil,Andargachew,2001-09-18,F,Ethiopian,doctor,Employed,39611,ETB,Harar,Harari,Ethiopia,cbdad140de98679a,56634515b813e02c,2023-02-16T04:43:01.496237
P000105,Lidiya,Petros,1970-10-25,F,Ethiopian,government_employee,Employed,14231,ETB,Bahir Dar,Amhara,Ethiopia,2a046209d9b8e4da,0500311be70ae6f7,2024-01-30T11:27:32.222143
P000106,Negassi,Ermias,1986-12-08,F,Ethiopian,domestic_worker,Employed,3599,ETB,Nekemte,Oromia,Ethiopia,fe46dfa4e3cac924,d69c10ed47f3b022,2023-07-02T10:39:17.103739
P000107,Eshetu,Bisrat,1978-02-09,M,Ethiopian,day_laborer,,2486,ETB,Addis Ababa,Addis Ababa,Ethiopia,,a57ea28b87e4bc4c,2022-09-24T17:09:20.755211
P000108,Worku,Biruk,2004-04-30,M,Ethiopian,domestic_worker,Employed,2937,ETB,Dire Dawa,Dire Dawa,Ethiopia,f72c84eb118a78dd,3045e8b74f7b75e4,2022-09-03T15:55:56.964995
P000109,Dibaba,Kassaye,1969-02-20,M,Ethiopian,software_engineer,Employed,28811,ETB,Bishoftu,Oromia,Ethiopia,4276bac33e00fe8b,6c9a84bd2e8cbda7,2025-09-03T09:43:56.674827
P000110,Roza,Addisu,1967-11-23,F,Ethiopian,driver,Employed,5047,ETB,Hawassa,Sidama,Ethiopia,604da7747b1accef,785e0814e89f60a0,2022-02-05T20:08:36.206727
P000111,Adugna,Haile-Selassie,2005-04-13,M,Ethiopian,teacher,Employed,14170,ETB,Addis Ababa,Addis Ababa,Ethiopia,8010590af67b4c3f,43e644b5879b4ad3,2023-07-26T10:15:08.433257
P000112,Hailu,Ezra,1985-02-25,M,Ethiopian,teacher,Employed,14414,ETB,Adama,Oromia,Ethiopia,19054b981d511478,3d0e0af41df45c02,2024-11-11T13:31:08.413830
P000113,Girmachew,Kassahun,1966-07-12,M,Ethiopian,unemployed,Unemployed,2018,ETB,Hawassa,Sidama,Ethiopia,,cd52969d876a6413,2023-09-23T12:10:47.286767
P000114,Woyneshet,Alemu,2007-02-14,F,Ethiopian,ngo_worker,Employed,10680,ETB,Addis Ababa,Addis Ababa,Ethiopia,188dcce40499e47e,17d676f299c5ace9,2022-04-17T09:52:21.397438
P000115,Estifanos,Mintesnot,1997-01-15,M,Ethiopian,cashier,Employed,4033,ETB,Addis Ababa,Addis Ababa,Ethiopia,cc439f96dc4436dd,c1b7c653ff34d545,2024-01-30T04:53:35.524174
P000116,Tiruwork,Mohammed,2005-10-09,F,Ethiopian,farmer,Self-Employed,16595,ETB,Bishoftu,Oromia,Ethiopia,53591bb70e7839a8,,2024-12-26T19:46:10.025057
P000117,Beletu,Tedla,1978-04-14,F,Ethiopian,merchant,Self-Employed,18468,ETB,Adama,Oromia,Ethiopia,479f932eac54edbb,7a899f68861d3703,2022-04-23T19:49:13.983324
P000118,Eyerusalem,Lemma,1999-04-05,F,Ethiopian,government_employee,Employed,7207,ETB,Addis Ababa,Addis Ababa,Ethiopia,db32b394304d2db7,8f14ef146515e8d3,2025-12-28T17:06:04.190062
P000119,Kassaye,Mussie,1996-07-27,M,Ethiopian,engineer,Employed,14292,ETB,Hawassa,Sidama,Ethiopia,6c5c3efd42fe96c1,46fe4e7d51032dae,2023-05-28T16:41:16.041363
P000120,Almaz,Ezana,1965-05-08,F,Ethiopian,government_employee,Employed,16329,ETB,Jijiga,Somali,Ethiopia,a69a8299a7b66aa3,525c96a3fbe9c1e5,2022-10-23T05:31:20.923622
P000121,Elizabeth,Mamo,1971-04-21,F,Ethiopian,teacher,Employed,9357,ETB,Dire Dawa,Dire Dawa,Ethiopia,a90fa2be4eca2368,a55fc262eaed154d,2024-06-26T21:53:21.249380
P000122,Ejigayehu,Dejen,1998-04-14,F,Ethiopian,business_owner,Self-Employed,34678,ETB,Addis Ababa,Addis Ababa,Ethiopia,,a48e215affc8798d,2022-11-15T00:22:27.950394
P000123,Dagnachew,Alula,1967-07-18,M,Ethiopian,government_employee,Employed,9905,ETB,Bahir Dar,Amhara,Ethiopia,91ba310058bf2862,79f464b3bfbafd76,2023-05-09T08:26:31.620548
P000124,Wossen,Beteab,2007-06-10,M,Ethiopian,merchant,Self-Employed,13870,ETB,Mekelle,Tigray,Ethiopia,23f43e88ada6c02d,50ac37cfd5572c09,2022-05-01T02:36:12.553815
P000125,Fiseha,Seid,1978-10-01,M,Ethiopian,teacher,Employed,23518,ETB,Debre Birhan,Amhara,Ethiopia,b4b878f727a735f6,a4c7a6f973df1540,2025-09-12T23:53:57.160573
P000126,Aida,Amanuel,1962-03-25,F,Ethiopian,merchant,Self-Employed,36937,ETB,Dire Dawa,Dire Dawa,Ethiopia,,c72e8b57b31cf3ac,2025-03-15T19:19:46.226870
P000127,Endalkachew,Mussie,2002-09-06,M,Ethiopian,government_employee,Employed,11864,ETB,Jijiga,Somali,Ethiopia,44288506f727c301,,2022-11-08T10:58:33.289787
P000128,Niguse,dEMISSIE,1977-08-22,M,Ethiopian,merchant,Self-Employed,10274,ETB,Bahir Dar,Amhara,Ethiopia,325d355cb32151c3,1b21b63a971feda6,2025-07-19T04:20:22.107735
P000129,Anteneh,Kidus,1976-05-13,M,Ethiopian,nurse,Employed,7739,ETB,Mekelle,Tigray,Ethiopia,85ed8529a47125a8,6a1e71515aa1f3d3,2023-06-06T01:13:31.521420
P000130,Addis,Admasu,2005-08-10,F,Ethiopian,farmer,Self-Employed,10595,ETB,Jimma,Oromia,Ethiopia,,8d0e86e00d309a7a,2025-10-31T07:23:40.461127
P000131,Dibaba,Yonas,1990-06-03,M,Ethiopian,freelancer,Self-Employed,24715,ETB,Addis Ababa,Addis Ababa,Ethiopia,eaa1acba3bce715e,166eef1a03bf8210,2025-05-31T08:20:59.302683
P000132,Semira,Girum,1985-02-18,F,Ethiopian,government_employee,Employed,11538,ETB,Addis Ababa,Addis Ababa,Ethiopia,9ca8335b874d7d1d,,2025-08-04T22:09:38.239957
P000133,Siham,Estifanos,2002-03-04,F,Ethiopian,freelancer,Self-Employed,35428,ETB,Dessie,Amhara,Ethiopia,7b10b6295d721b18,15fe3afc8ed2783e,2023-10-14T04:04:52.768156
